ais_event_id,vessel_id,mmsi,vessel_name,vessel_type,vessel_group,is_military,flag_country,timestamp_utc,latitude,longitude,speed_knots,course_deg,course_change_deg,ais_status,ais_gap_minutes,maritime_zone,zone_risk_level,sensitive_zone_name,sensitive_zone_distance_km,near_sensitive_zone,nearest_vessel_distance_nm,nearby_vessel_count,route_pattern,signal_quality,behavior_label,behavior_flags,simulation_seed,business_zone_reference,business_zone_risk,business_max_priority_score,score_vessel,score_geo,score_zone_risk,score_ais_behavior,score_legacy_business,score_signal_quality,final_risk_score,risk_level,attention_required,immediate_review_flag,recommended_action,risk_reasons,scoring_version
AIS-0074-04,VES-0074,696998321,MN-584,Croiseur,combat_strategique,True,Liberia,2026-05-13T06:54:05.235085+00:00,24.86643,120.84369,18.42,196.3,17.1,Interrompu,240,Détroit de Taïwan,Critical,Détroit de Taïwan,24.32,True,22.91,1,reapparition tardive,0.438,suspect,coupure AIS,20260513,Port de Shanghai,Critical,90,35,29,15,31,15,0,100,Risque critique,True,True,Transmission immediate a une cellule analyste/operationnelle,navire de combat strategique; zone critical; proximite zone sensible; zone sensible active; base sous-marine ou equivalent; coupure AIS 240 min; comportement AIS suspect; historique metier prioritaire; coupure AIS longue dans zone critique,ais-risk-v1
AIS-0074-05,VES-0074,696998321,MN-584,Croiseur,combat_strategique,True,Liberia,2026-05-13T06:39:05.235085+00:00,24.69091,120.91123,14.77,161.7,17.2,Interrompu,240,Détroit de Taïwan,Critical,Détroit de Taïwan,9.02,True,24.59,0,reapparition tardive,0.58,suspect,coupure AIS,20260513,Port de Shanghai,Critical,90,35,29,15,31,15,0,100,Risque critique,True,True,Transmission immediate a une cellule analyste/operationnelle,navire de combat strategique; zone critical; proximite zone sensible; zone sensible active; base sous-marine ou equivalent; coupure AIS 240 min; comportement AIS suspect; historique metier prioritaire; coupure AIS longue dans zone critique,ais-risk-v1
AIS-0074-03,VES-0074,696998321,MN-584,Croiseur,combat_strategique,True,Liberia,2026-05-13T06:21:05.235085+00:00,24.88295,120.80578,18.5,154.4,10.4,Interrompu,180,Détroit de Taïwan,Critical,Détroit de Taïwan,28.25,True,14.74,1,coupure AIS,0.586,suspect,coupure AIS,20260513,Port de Shanghai,Critical,90,35,25,15,27,15,0,100,Risque critique,True,True,Transmission immediate a une cellule analyste/operationnelle,navire de combat strategique; zone critical; proximite zone sensible; zone sensible active; base sous-marine ou equivalent; coupure AIS 180 min; comportement AIS suspect; historique metier prioritaire; coupure AIS longue dans zone critique,ais-risk-v1
AIS-0037-05,VES-0037,526949390,MN-816,Croiseur,combat_strategique,True,France,2026-05-12T23:11:01.934380+00:00,24.95637,120.44412,1.63,7.7,16.6,Interrompu,90,Détroit de Taïwan,Critical,Détroit de Taïwan,62.93,False,3.73,3,coupure AIS,0.65,suspect,coupure AIS,20260513,Port de Shanghai,Critical,90,35,16,15,25,15,2,100,Risque critique,True,True,Transmission immediate a une cellule analyste/operationnelle,navire de combat strategique; zone critical; zone sensible active; base sous-marine ou equivalent; coupure AIS 90 min; comportement AIS suspect; historique metier prioritaire,ais-risk-v1
AIS-0037-03,VES-0037,526949390,MN-816,Croiseur,combat_strategique,True,France,2026-05-12T20:17:01.934380+00:00,24.69751,120.62979,1.75,3.1,16.3,Interrompu,120,Détroit de Taïwan,Critical,Détroit de Taïwan,37.4,True,2.27,3,route sombre,0.501,suspect,coupure AIS; proximite zone sensible; stationnement lent,20260513,Port de Shanghai,Critical,90,35,25,15,35,15,0,100,Risque critique,True,True,Transmission immediate a une cellule analyste/operationnelle,navire de combat strategique; zone critical; proximite zone sensible; zone sensible active; base sous-marine ou equivalent; coupure AIS 120 min; proximite autre navire; stationnement lent en zone sensible; comportement AIS suspect; historique metier prioritaire; coupure AIS longue dans zone critique; signal suspect proche zone sensible et autre navire,ais-risk-v1
AIS-0037-02,VES-0037,526949390,MN-816,Croiseur,combat_strategique,True,France,2026-05-12T19:59:01.934380+00:00,24.678,120.62103,20.67,325.3,79.2,Actif,0,Détroit de Taïwan,Critical,Détroit de Taïwan,38.37,True,0.56,3,variation de cap,0.757,suspect,proximite zone sensible; proximite autre navire; variation cap forte,20260513,Port de Shanghai,Critical,90,35,25,15,25,15,2,100,Risque critique,True,True,Transmission immediate a une cellule analyste/operationnelle,navire de combat strategique; zone critical; proximite zone sensible; zone sensible active; base sous-marine ou equivalent; proximite immediate autre navire; variation de cap forte; comportement AIS suspect; historique metier prioritaire; signal suspect proche zone sensible et autre navire,ais-risk-v1
AIS-0037-04,VES-0037,526949390,MN-816,Croiseur,combat_strategique,True,France,2026-05-12T19:48:01.934380+00:00,24.81039,120.57563,19.21,342.3,142.0,Interrompu,120,Détroit de Taïwan,Critical,Détroit de Taïwan,44.57,True,2.04,2,coupure AIS,0.56,suspect,coupure AIS; proximite zone sensible; variation cap forte,20260513,Port de Shanghai,Critical,90,35,25,15,35,15,0,100,Risque critique,True,True,Transmission immediate a une cellule analyste/operationnelle,navire de combat strategique; zone critical; proximite zone sensible; zone sensible active; base sous-marine ou equivalent; coupure AIS 120 min; proximite autre navire; variation de cap tres forte; comportement AIS suspect; historique metier prioritaire; coupure AIS longue dans zone critique; signal suspect proche zone sensible et autre navire,ais-risk-v1
AIS-0071-05,VES-0071,626618110,MN-963,Destroyer,combat_strategique,True,Singapore,2026-05-12T19:00:15.557630+00:00,24.23688,120.79527,14.37,225.4,1.3,Interrompu,30,Détroit de Taïwan,Critical,Détroit de Taïwan,55.51,False,19.26,1,coupure AIS,0.742,suspect,coupure AIS,20260513,Port de Shanghai,Critical,90,35,16,15,17,15,2,100,Risque critique,True,True,Transmission immediate a une cellule analyste/operationnelle,navire de combat strategique; zone critical; zone sensible active; base sous-marine ou equivalent; coupure AIS 30 min; comportement AIS suspect; historique metier prioritaire,ais-risk-v1
AIS-0037-01,VES-0037,526949390,MN-816,Croiseur,combat_strategique,True,France,2026-05-12T18:51:01.934380+00:00,24.66686,120.64246,22.08,317.2,66.8,Actif,0,Détroit de Taïwan,Critical,Détroit de Taïwan,36.31,True,0.38,4,rendez-vous probable,0.923,suspect,proximite zone sensible; proximite autre navire,20260513,Port de Shanghai,Critical,90,35,25,15,22,15,4,100,Risque critique,True,True,Transmission immediate a une cellule analyste/operationnelle,navire de combat strategique; zone critical; proximite zone sensible; zone sensible active; base sous-marine ou equivalent; proximite immediate autre navire; regroupement de navires; comportement AIS suspect; historique metier prioritaire; signal suspect proche zone sensible et autre navire,ais-risk-v1
AIS-0032-05,VES-0032,589364355,MN-405,Sous-marin,combat_strategique,True,France,2026-05-12T17:49:34.967091+00:00,25.38359,56.39037,13.69,212.3,109.6,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,78.92,False,3.27,5,variation de cap,0.99,suspect,variation cap forte,20260513,Détroit d'Ormuz,Critical,110,35,17,15,17,15,4,100,Risque critique,True,True,Transmission immediate a une cellule analyste/operationnelle,navire de combat strategique; zone critical; zone sensible active; base sous-marine ou equivalent; regroupement de navires; variation de cap forte; comportement AIS suspect; historique metier prioritaire,ais-risk-v1
