image_id,file_name,date,time,zone_id,zone_name,coordinates,country,risk_level,resolution,source,num_ships,ship_types,cloud_cover,url
IMG-000,satellite_000.jpg,2026-08-31,17:17:58,ZONE-002,Base navale de Norfolk,"36.9,-76.3",USA,High,1m,Sentinel-2,5,"Navire de guerre, Navire civil, Bâtiment de débarquement, Destroyer, Pétrolier",17.0,https://example.com/satellite_images/satellite_000.jpg
IMG-001,satellite_001.jpg,2026-04-17,04:54:56,ZONE-002,Base navale de Norfolk,"36.9,-76.3",USA,High,10m,Maxar,2,"Destroyer, Navire de guerre",39.0,https://example.com/satellite_images/satellite_001.jpg
IMG-002,satellite_002.jpg,2026-03-02,15:20:53,ZONE-009,Base navale de Yokosuka,"35.4,139.7",Japan,High,1m,Sentinel-2,4,"Navire de soutien, Chalutier, Porte-avions, Navire de guerre",25.6,https://example.com/satellite_images/satellite_002.jpg
IMG-003,satellite_003.jpg,2026-08-17,16:27:15,ZONE-012,Détroit d'Ormuz,"25.0,56.0",International,Critical,0.5m,PlanetScope,0,Aucun,27.3,https://example.com/satellite_images/satellite_003.jpg
IMG-004,satellite_004.jpg,2026-10-03,08:53:49,ZONE-015,Mer Baltique,"55.0,20.0",International,Medium,1m,Sentinel-2,3,"Destroyer, Pétrolier, Frégate",32.7,https://example.com/satellite_images/satellite_004.jpg
IMG-005,satellite_005.jpg,2026-11-09,21:23:47,ZONE-005,Base navale de Rota,"36.6,-6.4",Spain,High,0.5m,WorldView-3,4,"Pétrolier, Destroyer, Cargo, Frégate",45.2,https://example.com/satellite_images/satellite_005.jpg
IMG-006,satellite_006.jpg,2026-01-04,02:10:50,ZONE-004,Détroit de Malacca,"3.0,101.0",International,Critical,1m,Sentinel-2,4,"Destroyer, Sous-marin, Navire de soutien, Porte-avions",10.0,https://example.com/satellite_images/satellite_006.jpg
IMG-007,satellite_007.jpg,2026-04-06,03:08:14,ZONE-003,Port de Shanghai,"31.2,121.5",China,Medium,5m,WorldView-3,5,"Croiseur, Navire de guerre, Chalutier, Pétrolier, Destroyer",21.1,https://example.com/satellite_images/satellite_007.jpg
IMG-008,satellite_008.jpg,2026-10-21,20:26:19,ZONE-012,Détroit d'Ormuz,"25.0,56.0",International,Critical,5m,WorldView-3,3,"Chalutier, Porte-avions, Navire de guerre",43.8,https://example.com/satellite_images/satellite_008.jpg
IMG-009,satellite_009.jpg,2026-01-28,03:13:46,ZONE-015,Mer Baltique,"55.0,20.0",International,Medium,10m,Sentinel-2,5,"Frégate, Navire de soutien, Chalutier, Destroyer, Navire de guerre",1.9,https://example.com/satellite_images/satellite_009.jpg
IMG-010,satellite_010.jpg,2026-10-10,13:35:17,ZONE-014,Port de Singapour,"1.3,103.8",Singapore,Low,5m,WorldView-3,5,"Sous-marin, Chalutier, Navire civil, Navire de guerre, Navire de soutien",43.7,https://example.com/satellite_images/satellite_010.jpg
IMG-011,satellite_011.jpg,2026-11-10,05:50:18,ZONE-004,Détroit de Malacca,"3.0,101.0",International,Critical,10m,Sentinel-2,4,"Pétrolier, Frégate, Navire de guerre, Chalutier",11.3,https://example.com/satellite_images/satellite_011.jpg
IMG-012,satellite_012.jpg,2026-07-19,23:00:19,ZONE-007,Mer de Chine Méridionale,"15.0,110.0",International,Critical,5m,PlanetScope,3,"Pétrolier, Croiseur, Navire civil",43.9,https://example.com/satellite_images/satellite_012.jpg
IMG-013,satellite_013.jpg,2026-01-12,19:41:54,ZONE-008,Golfe Persique,"26.0,55.0",International,Critical,5m,Sentinel-2,0,Aucun,26.8,https://example.com/satellite_images/satellite_013.jpg
IMG-014,satellite_014.jpg,2026-05-04,09:01:54,ZONE-008,Golfe Persique,"26.0,55.0",International,Critical,0.5m,PlanetScope,4,"Frégate, Navire de guerre, Destroyer, Navire de soutien",29.3,https://example.com/satellite_images/satellite_014.jpg
IMG-015,satellite_015.jpg,2026-02-22,00:41:47,ZONE-002,Base navale de Norfolk,"36.9,-76.3",USA,High,10m,PlanetScope,1,Corvette,37.3,https://example.com/satellite_images/satellite_015.jpg
IMG-016,satellite_016.jpg,2026-12-12,15:58:41,ZONE-002,Base navale de Norfolk,"36.9,-76.3",USA,High,0.5m,Maxar,3,"Destroyer, Sous-marin, Porte-avions",22.5,https://example.com/satellite_images/satellite_016.jpg
IMG-017,satellite_017.jpg,2026-06-14,06:02:40,ZONE-015,Mer Baltique,"55.0,20.0",International,Medium,5m,PlanetScope,4,"Navire de guerre, Porte-avions, Destroyer, Chalutier",9.5,https://example.com/satellite_images/satellite_017.jpg
IMG-018,satellite_018.jpg,2026-05-06,00:37:03,ZONE-014,Port de Singapour,"1.3,103.8",Singapore,Low,5m,Landsat-8,0,Aucun,44.8,https://example.com/satellite_images/satellite_018.jpg
IMG-019,satellite_019.jpg,2026-04-18,06:16:15,ZONE-006,Port de Rotterdam,"51.9,4.5",Netherlands,Low,10m,PlanetScope,2,"Frégate, Chalutier",11.0,https://example.com/satellite_images/satellite_019.jpg
IMG-020,satellite_020.jpg,2026-10-22,12:31:57,ZONE-014,Port de Singapour,"1.3,103.8",Singapore,Low,0.5m,Sentinel-2,5,"Navire civil, Chalutier, Pétrolier, Frégate, Cargo",14.0,https://example.com/satellite_images/satellite_020.jpg
IMG-021,satellite_021.jpg,2026-06-23,11:20:18,ZONE-006,Port de Rotterdam,"51.9,4.5",Netherlands,Low,10m,PlanetScope,4,"Chalutier, Bâtiment de débarquement, Porte-avions, Pétrolier",6.2,https://example.com/satellite_images/satellite_021.jpg
IMG-022,satellite_022.jpg,2026-07-08,09:39:17,ZONE-004,Détroit de Malacca,"3.0,101.0",International,Critical,5m,PlanetScope,4,"Corvette, Pétrolier, Destroyer, Navire civil",4.3,https://example.com/satellite_images/satellite_022.jpg
IMG-023,satellite_023.jpg,2026-09-10,21:46:50,ZONE-002,Base navale de Norfolk,"36.9,-76.3",USA,High,5m,Maxar,2,"Croiseur, Destroyer",25.7,https://example.com/satellite_images/satellite_023.jpg
IMG-024,satellite_024.jpg,2026-10-15,16:55:22,ZONE-012,Détroit d'Ormuz,"25.0,56.0",International,Critical,0.5m,Sentinel-2,3,"Porte-avions, Navire de soutien, Destroyer",25.9,https://example.com/satellite_images/satellite_024.jpg
IMG-025,satellite_025.jpg,2026-03-29,01:02:14,ZONE-006,Port de Rotterdam,"51.9,4.5",Netherlands,Low,0.5m,Maxar,3,"Navire de soutien, Cargo, Navire de guerre",44.8,https://example.com/satellite_images/satellite_025.jpg
IMG-026,satellite_026.jpg,2026-09-27,22:47:18,ZONE-005,Base navale de Rota,"36.6,-6.4",Spain,High,5m,Maxar,3,"Navire de guerre, Navire civil, Pétrolier",19.6,https://example.com/satellite_images/satellite_026.jpg
IMG-027,satellite_027.jpg,2026-11-08,02:42:32,ZONE-007,Mer de Chine Méridionale,"15.0,110.0",International,Critical,1m,Landsat-8,4,"Bâtiment de débarquement, Pétrolier, Destroyer, Navire civil",40.0,https://example.com/satellite_images/satellite_027.jpg
