ais_event_id,vessel_id,mmsi,vessel_name,vessel_type,vessel_group,is_military,flag_country,timestamp_utc,latitude,longitude,speed_knots,course_deg,course_change_deg,ais_status,ais_gap_minutes,maritime_zone,zone_risk_level,sensitive_zone_name,sensitive_zone_distance_km,near_sensitive_zone,nearest_vessel_distance_nm,nearby_vessel_count,route_pattern,signal_quality,behavior_label,behavior_flags,simulation_seed
AIS-0053-01,VES-0053,710935746,NORD-395,Porte-conteneurs,civil,False,Norway,2026-05-11T21:02:23.041705+00:00,26.12066,56.75007,11.46,95.4,13.7,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,76.12,False,13.2,0,transit regulier,0.964,normal,aucun,20260513
AIS-0027-01,VES-0027,614911621,TRADE-798,Porte-conteneurs,civil,False,Panama,2026-05-11T21:18:32.688876+00:00,35.15133,31.81536,18.22,137.4,2.8,Actif,0,Méditerranée orientale,High,Méditerranée orientale,129.14,False,8.44,1,transit regulier,0.847,normal,aucun,20260513
AIS-0008-01,VES-0008,516265884,OCEAN-476,Navire civil,civil,False,Marshall Islands,2026-05-11T21:30:50.085499+00:00,19.68473,40.07462,0.37,228.8,138.1,Actif,0,Mer Rouge,High,Mer Rouge,149.68,False,1.16,5,loitering,0.99,suspect,proximite autre navire; variation cap forte,20260513
AIS-0053-03,VES-0053,710935746,NORD-395,Porte-conteneurs,civil,False,Norway,2026-05-11T21:38:23.041705+00:00,26.10316,56.80808,15.69,110.0,16.0,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,81.54,False,18.46,1,approche portuaire,0.99,normal,aucun,20260513
AIS-0053-02,VES-0053,710935746,NORD-395,Porte-conteneurs,civil,False,Norway,2026-05-11T21:58:23.041705+00:00,26.0792,56.85343,15.78,106.0,10.8,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,85.72,False,27.82,0,transit regulier,0.99,normal,aucun,20260513
AIS-0027-05,VES-0027,614911621,TRADE-798,Porte-conteneurs,civil,False,Panama,2026-05-11T22:30:32.688876+00:00,35.06985,31.95792,19.18,132.1,7.5,Actif,0,Méditerranée orientale,High,Méditerranée orientale,114.72,False,10.6,0,transit regulier,0.872,normal,aucun,20260513
AIS-0027-02,VES-0027,614911621,TRADE-798,Porte-conteneurs,civil,False,Panama,2026-05-11T22:37:32.688876+00:00,35.12503,31.86046,18.54,152.1,31.5,Actif,0,Méditerranée orientale,High,Méditerranée orientale,124.53,False,24.87,0,transit regulier,0.899,normal,aucun,20260513
AIS-0008-02,VES-0008,516265884,OCEAN-476,Navire civil,civil,False,Marshall Islands,2026-05-11T22:48:50.085499+00:00,19.63515,39.91474,19.23,266.1,13.5,Actif,0,Mer Rouge,High,Mer Rouge,133.6,False,3.63,4,rendez-vous probable,0.899,suspect,vitesse atypique,20260513
AIS-0027-03,VES-0027,614911621,TRADE-798,Porte-conteneurs,civil,False,Panama,2026-05-11T22:56:32.688876+00:00,35.11826,31.8394,12.63,149.4,7.6,Actif,0,Méditerranée orientale,High,Méditerranée orientale,126.27,False,10.79,2,transit regulier,0.99,normal,aucun,20260513
AIS-0008-03,VES-0008,516265884,OCEAN-476,Navire civil,civil,False,Marshall Islands,2026-05-11T23:14:50.085499+00:00,19.64088,39.93819,19.83,232.7,69.8,Actif,0,Mer Rouge,High,Mer Rouge,135.82,False,3.16,3,rendez-vous probable,0.919,suspect,vitesse atypique,20260513
AIS-0009-01,VES-0009,314055579,NORD-750,Cargo,civil,False,Liberia,2026-05-11T23:22:48.551489+00:00,26.93115,56.72325,9.25,72.4,25.9,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,126.11,False,18.85,0,approche portuaire,0.854,normal,aucun,20260513
AIS-0050-01,VES-0050,407063508,ATL-108,Pétrolier,civil,False,Greece,2026-05-11T23:24:39.806795+00:00,33.74913,32.48375,12.72,62.4,13.6,Actif,0,Méditerranée orientale,High,Méditerranée orientale,143.88,False,16.45,1,transit regulier,0.979,normal,aucun,20260513
AIS-0011-01,VES-0011,308561057,ATL-344,Cargo,civil,False,Greece,2026-05-11T23:33:15.305483+00:00,24.33958,120.4318,10.32,109.7,28.6,Actif,0,Détroit de Taïwan,Critical,Détroit de Taïwan,70.07,False,3.29,4,rendez-vous probable,0.773,normal,aucun,20260513
AIS-0062-01,VES-0062,414242640,TRADE-483,Cargo,civil,False,Greece,2026-05-12T00:15:09.960142+00:00,26.59724,56.66374,16.91,224.1,11.5,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,93.74,False,1.1,4,rendez-vous probable,0.957,suspect,proximite autre navire,20260513
AIS-0011-02,VES-0011,308561057,ATL-344,Cargo,civil,False,Greece,2026-05-12T00:30:15.305483+00:00,24.24945,120.51224,1.0,139.2,80.3,Actif,0,Détroit de Taïwan,Critical,Détroit de Taïwan,70.33,False,1.5,1,variation de cap,0.972,suspect,proximite autre navire; variation cap forte,20260513
AIS-0050-02,VES-0050,407063508,ATL-108,Pétrolier,civil,False,Greece,2026-05-12T00:30:39.806795+00:00,33.78208,32.5459,9.16,56.0,37.9,Actif,0,Méditerranée orientale,High,Méditerranée orientale,138.05,False,10.84,0,transit regulier,0.99,normal,aucun,20260513
AIS-0008-04,VES-0008,516265884,OCEAN-476,Navire civil,civil,False,Marshall Islands,2026-05-12T00:48:50.085499+00:00,19.57814,39.92159,0.77,250.9,8.8,Actif,0,Mer Rouge,High,Mer Rouge,129.82,False,2.56,2,variation de cap,0.822,normal,aucun,20260513
AIS-0008-05,VES-0008,516265884,OCEAN-476,Navire civil,civil,False,Marshall Islands,2026-05-12T00:54:50.085499+00:00,19.61278,39.78276,9.98,255.8,8.0,Actif,0,Mer Rouge,High,Mer Rouge,122.16,False,2.45,4,variation de cap,0.972,normal,aucun,20260513
AIS-0076-01,VES-0076,381167275,MER-530,Pétrolier,civil,False,Liberia,2026-05-12T00:56:24.655296+00:00,26.94608,55.68526,8.88,242.7,14.5,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,109.77,False,17.25,1,approche portuaire,0.99,normal,aucun,20260513
AIS-0009-02,VES-0009,314055579,NORD-750,Cargo,civil,False,Liberia,2026-05-12T00:56:48.551489+00:00,26.92885,56.78593,9.21,108.5,19.7,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,129.57,False,7.82,0,patrouille declaree,0.776,normal,aucun,20260513
AIS-0053-04,VES-0053,710935746,NORD-395,Porte-conteneurs,civil,False,Norway,2026-05-12T01:08:23.041705+00:00,26.01153,57.08247,14.02,107.1,22.4,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,108.19,False,12.17,1,transit regulier,0.937,normal,aucun,20260513
AIS-0062-02,VES-0062,414242640,TRADE-483,Cargo,civil,False,Greece,2026-05-12T01:10:09.960142+00:00,26.58732,56.64929,14.53,197.2,114.4,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,91.95,False,2.3,1,loitering,0.99,suspect,variation cap forte,20260513
AIS-0062-03,VES-0062,414242640,TRADE-483,Cargo,civil,False,Greece,2026-05-12T01:17:09.960142+00:00,26.43466,56.51113,8.62,244.8,109.7,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,70.25,False,2.8,4,loitering,0.799,suspect,variation cap forte,20260513
AIS-0006-01,VES-0006,206612062,ATL-563,Pétrolier,civil,False,France,2026-05-12T01:28:56.453809+00:00,24.44652,120.26675,11.28,27.6,20.5,Actif,0,Détroit de Taïwan,Critical,Détroit de Taïwan,79.33,False,24.98,0,transit regulier,0.716,normal,aucun,20260513
AIS-0027-04,VES-0027,614911621,TRADE-798,Porte-conteneurs,civil,False,Panama,2026-05-12T01:33:32.688876+00:00,35.06477,32.0734,13.2,125.8,10.8,Actif,0,Méditerranée orientale,High,Méditerranée orientale,104.26,False,13.71,1,transit regulier,0.94,normal,aucun,20260513
AIS-0011-03,VES-0011,308561057,ATL-344,Cargo,civil,False,Greece,2026-05-12T01:41:15.305483+00:00,24.20916,120.62866,12.88,138.2,2.0,Interrompu,90,Détroit de Taïwan,Critical,Détroit de Taïwan,66.27,False,0.16,3,reapparition tardive,0.536,suspect,coupure AIS; proximite autre navire,20260513
AIS-0009-05,VES-0009,314055579,NORD-750,Cargo,civil,False,Liberia,2026-05-12T01:46:48.551489+00:00,26.95325,56.95427,14.41,75.9,14.1,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,142.32,False,17.4,2,transit regulier,0.898,normal,aucun,20260513
AIS-0076-02,VES-0076,381167275,MER-530,Pétrolier,civil,False,Liberia,2026-05-12T01:49:24.655296+00:00,26.92864,55.66894,14.78,239.9,16.1,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,108.39,False,20.26,0,transit regulier,0.99,normal,aucun,20260513
AIS-0009-04,VES-0009,314055579,NORD-750,Cargo,civil,False,Liberia,2026-05-12T01:52:48.551489+00:00,26.98232,56.99727,10.49,87.0,16.6,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,147.58,False,17.54,0,transit regulier,0.99,normal,aucun,20260513
AIS-0062-05,VES-0062,414242640,TRADE-483,Cargo,civil,False,Greece,2026-05-12T01:59:09.960142+00:00,26.25585,56.39857,9.89,248.4,115.6,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,48.91,False,2.9,5,loitering,0.789,suspect,variation cap forte,20260513
AIS-0050-03,VES-0050,407063508,ATL-108,Pétrolier,civil,False,Greece,2026-05-12T02:02:39.806795+00:00,33.76952,32.59836,11.94,87.5,32.3,Actif,0,Méditerranée orientale,High,Méditerranée orientale,137.31,False,14.61,0,transit regulier,0.859,normal,aucun,20260513
AIS-0009-03,VES-0009,314055579,NORD-750,Cargo,civil,False,Liberia,2026-05-12T02:08:48.551489+00:00,26.98486,56.93187,12.46,84.4,29.0,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,143.5,False,14.15,0,transit regulier,0.99,normal,aucun,20260513
AIS-0003-01,VES-0003,665786496,MN-805,Destroyer,combat_strategique,True,France,2026-05-12T02:11:42.884454+00:00,34.41826,32.52278,27.56,144.1,15.3,Actif,0,Méditerranée orientale,High,Méditerranée orientale,81.89,False,12.32,2,patrouille declaree,0.836,normal,aucun,20260513
AIS-0006-02,VES-0006,206612062,ATL-563,Pétrolier,civil,False,France,2026-05-12T02:20:56.453809+00:00,24.55231,120.27304,14.86,322.0,24.1,Actif,0,Détroit de Taïwan,Critical,Détroit de Taïwan,75.29,False,22.7,2,transit regulier,0.646,normal,aucun,20260513
AIS-0061-01,VES-0061,436542994,MN-706,Corvette,combat,True,Panama,2026-05-12T02:23:39.981602+00:00,19.29934,38.05803,1.4,47.0,25.0,Actif,0,Mer Rouge,High,Mer Rouge,113.51,False,3.25,1,loitering,0.698,normal,aucun,20260513
AIS-0053-05,VES-0053,710935746,NORD-395,Porte-conteneurs,civil,False,Norway,2026-05-12T02:26:23.041705+00:00,26.08355,56.81184,16.58,140.0,9.1,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,81.64,False,5.65,0,transit regulier,0.99,normal,aucun,20260513
AIS-0006-03,VES-0006,206612062,ATL-563,Pétrolier,civil,False,France,2026-05-12T02:28:56.453809+00:00,24.59651,120.29427,6.41,353.9,4.1,Actif,0,Détroit de Taïwan,Critical,Détroit de Taïwan,72.25,False,24.84,0,approche portuaire,0.684,normal,aucun,20260513
AIS-0050-04,VES-0050,407063508,ATL-108,Pétrolier,civil,False,Greece,2026-05-12T03:18:39.806795+00:00,33.89596,32.81088,13.73,24.3,20.5,Actif,0,Méditerranée orientale,High,Méditerranée orientale,117.21,False,26.37,0,transit regulier,0.99,normal,aucun,20260513
AIS-0003-02,VES-0003,665786496,MN-805,Destroyer,combat_strategique,True,France,2026-05-12T03:27:42.884454+00:00,34.3299,32.57181,24.95,190.3,29.0,Actif,0,Méditerranée orientale,High,Méditerranée orientale,85.58,False,11.18,0,transit regulier,0.99,normal,aucun,20260513
AIS-0006-04,VES-0006,206612062,ATL-563,Pétrolier,civil,False,France,2026-05-12T03:31:56.453809+00:00,24.81192,120.33426,12.4,339.1,0.8,Actif,0,Détroit de Taïwan,Critical,Détroit de Taïwan,68.37,False,22.2,0,transit regulier,0.99,normal,aucun,20260513
AIS-0065-01,VES-0065,341484128,MN-204,Croiseur,combat_strategique,True,France,2026-05-12T03:32:04.289022+00:00,25.94369,56.81841,12.09,48.5,23.5,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,82.05,False,17.17,1,transit regulier,0.885,normal,aucun,20260513
AIS-0076-04,VES-0076,381167275,MER-530,Pétrolier,civil,False,Liberia,2026-05-12T03:32:24.655296+00:00,26.77964,55.34954,13.08,201.9,17.2,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,108.23,False,15.3,2,approche portuaire,0.925,normal,aucun,20260513
AIS-0011-05,VES-0011,308561057,ATL-344,Cargo,civil,False,Greece,2026-05-12T03:33:15.305483+00:00,24.27671,120.53196,13.79,128.2,19.4,Interrompu,180,Détroit de Taïwan,Critical,Détroit de Taïwan,66.77,False,3.31,5,coupure AIS,0.413,suspect,coupure AIS,20260513
AIS-0011-04,VES-0011,308561057,ATL-344,Cargo,civil,False,Greece,2026-05-12T03:45:15.305483+00:00,24.14325,120.81606,14.07,145.3,26.7,Interrompu,180,Détroit de Taïwan,Critical,Détroit de Taïwan,64.65,False,1.61,3,route sombre,0.474,suspect,coupure AIS; proximite autre navire,20260513
AIS-0076-03,VES-0076,381167275,MER-530,Pétrolier,civil,False,Liberia,2026-05-12T03:48:24.655296+00:00,26.88184,55.54725,14.71,257.3,11.1,Actif,0,Détroit d'Ormuz,Critical,Détroit d'Ormuz,107.92,False,25.49,0,transit regulier,0.929,normal,aucun,20260513
AIS-0061-02,VES-0061,436542994,MN-706,Corvette,combat,True,Panama,2026-05-12T03:52:39.981602+00:00,19.35654,38.21666,12.43,122.7,119.0,Actif,0,Mer Rouge,High,Mer Rouge,102.99,False,3.73,1,loitering,0.959,suspect,variation cap forte,20260513
